model,source,dataset,test_accuracy,test_macro_f1
TF-IDF + LogReg,nb04,banglasarc3_binary,0.6708229426433915,0.6706918755482558
TF-IDF + LogReg,nb04,banglasarc_binary,0.888671875,0.8806160643063141
TF-IDF + LogReg,nb04,ben_sarc_binary,0.6645865834633385,0.6645833181219685
BanglaBERT,nb05,banglasarc3_binary,0.7369077306733167,0.7368156658304548
BanglaBERT,nb05,banglasarc3_binary,0.7668329177057357,0.7665683489629946
BanglaBERT,nb05,banglasarc_binary,0.986328125,0.9854907596704654
BanglaBERT,nb05,banglasarc_binary,0.9843444227005872,0.9834144758195392
BanglaBERT,nb05,ben_sarc_binary,0.7999219968798752,0.7998998078153858
BanglaBERT,nb05,ben_sarc_binary,0.8018720748829953,0.8018330087633885
BanglaBERT + FGM,nb06,banglasarc3_binary,0.7693266832917706,0.7693091090017181
BanglaBERT + FGM,nb06,banglasarc3_binary,0.7880299251870324,0.7880088316696209
BanglaBERT + FGM,nb06,banglasarc_binary,0.986328125,0.9854615668569158
BanglaBERT + FGM,nb06,banglasarc_binary,0.9902152641878668,0.9896030438055708
BanglaBERT + FGM,nb06,ben_sarc_binary,0.8096723868954758,0.8096719236760124
BanglaBERT + FGM,nb06,ben_sarc_binary,0.8022620904836193,0.8022293297420799
XLM-RoBERTa,nb07,ben_sarc_binary,0.7613104524180967,0.7613104524180967
XLM-RoBERTa,nb07,banglasarc_binary,0.947265625,0.9445654135338346
XLM-RoBERTa,nb07,banglasarc3_binary,0.7306733167082294,0.7305912212600776
mBERT,nb07,ben_sarc_binary,0.75,0.7496114730659159
mBERT,nb07,banglasarc_binary,0.947265625,0.9447621102600066
mBERT,nb07,banglasarc3_binary,0.7281795511221946,0.7280104044156539
Sagorsarker BB,nb07,ben_sarc_binary,0.7515600624024961,0.7512467226079321
Sagorsarker BB,nb07,banglasarc_binary,0.951171875,0.948671679197995
Sagorsarker BB,nb07,banglasarc3_binary,0.7281795511221946,0.7281643365341559
MuRIL,nb07,ben_sarc_binary,0.7769110764430577,0.7761652894176483
MuRIL,nb07,banglasarc_binary,0.978515625,0.977107086966242
MuRIL,nb07,banglasarc3_binary,0.7356608478802993,0.7355802727182243
