technique,model_tag,dataset,num_labels,ls,rdrop_alpha,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,confusion_matrix,train_samples,time_seconds
label_smoothing,banglabert,ben_sarc_binary,2,0.1,0.0,0.797191887675507,0.7967466785046136,0.7964118564742589,0.7962849315068493,0.7962849315068493,"[[989, 293], [229, 1053]]",20508,1218.2
label_smoothing,banglabert,banglasarc_binary,2,0.1,0.0,0.9823874755381604,0.9813595113508782,0.9765625,0.9752002066649444,0.9765625,"[[310, 6], [6, 190]]",4089,254.2
label_smoothing,banglabert,banglasarc3_binary,2,0.1,0.0,0.7743142144638404,0.7742857898100364,0.7443890274314214,0.7442995805461765,0.7442995805461764,"[[291, 110], [95, 306]]",6413,391.3
label_smoothing,banglabert,banglasarc3_ternary,3,0.1,0.0,0.6727423363711682,0.6725247831474598,0.640728476821192,0.6404841754398897,0.6405478185428999,"[[227, 92, 82], [98, 263, 45], [76, 41, 284]]",9657,585.0
rdrop,banglabert,ben_sarc_binary,2,0.0,5.0,0.8073322932917316,0.8072755380270717,0.8053822152886115,0.8048883293899844,0.8048883293899846,"[[1097, 185], [314, 968]]",20508,2254.5
rdrop,banglabert,banglasarc_binary,2,0.0,5.0,0.9823874755381604,0.9813954052840447,0.982421875,0.9813452624334554,0.9823956161569135,"[[313, 3], [6, 190]]",4089,459.4
rdrop,banglabert,banglasarc3_binary,2,0.0,5.0,0.7768079800498753,0.7767909757367975,0.7381546134663342,0.7381480997779809,0.7381480997779809,"[[298, 103], [107, 294]]",6413,716.9
rdrop,banglabert,banglasarc3_ternary,3,0.0,5.0,0.6727423363711682,0.6693395793375014,0.6589403973509934,0.6561284140260085,0.6562196668341724,"[[216, 95, 90], [81, 275, 50], [61, 35, 305]]",9657,1067.8
rdrop_plus_ls,banglabert,ben_sarc_binary,2,0.1,5.0,0.8049921996879875,0.8049119577708954,0.8022620904836193,0.8016959337039937,0.8016959337039937,"[[1097, 185], [322, 960]]",20508,2254.3
rdrop_plus_ls,banglabert,banglasarc_binary,2,0.1,5.0,0.9863013698630136,0.985529759665368,0.982421875,0.9813452624334554,0.9823956161569135,"[[313, 3], [6, 190]]",4089,459.6
rdrop_plus_ls,banglabert,banglasarc3_binary,2,0.1,5.0,0.7780548628428927,0.7780493417165744,0.743142144638404,0.7431405472636816,0.7431405472636816,"[[299, 102], [104, 297]]",6413,714.3
rdrop_plus_ls,banglabert,banglasarc3_ternary,3,0.1,5.0,0.6735708367854184,0.670132806196487,0.6614238410596026,0.6577596300827258,0.6579022457233696,"[[209, 105, 87], [69, 289, 48], [65, 35, 301]]",9657,1069.5
