run_id,technique,backbone,train_dataset,test_dataset,task,test_macro_f1,test_weighted_f1,test_accuracy,val_macro_f1_on_train_ds,time_seconds
bb_baseline_banglasarc__to__banglasarc3,bb_baseline,csebuetnlp/banglabert,banglasarc,banglasarc3,binary,0.336,0.336,0.4963,0.9855,403.9
bb_baseline_banglasarc__to__ben_sarc,bb_baseline,csebuetnlp/banglabert,banglasarc,ben_sarc,binary,0.3437,0.3437,0.4899,0.9793,417.8
bb_fgm_e05_banglasarc__to__banglasarc3,bb_fgm_e05,csebuetnlp/banglabert,banglasarc,banglasarc3,binary,0.3333,0.3333,0.5,0.3821,760.2
bb_fgm_e05_banglasarc__to__ben_sarc,bb_fgm_e05,csebuetnlp/banglabert,banglasarc,ben_sarc,binary,0.3333,0.3333,0.5,0.3821,784.9
bb_baseline_banglasarc3__to__banglasarc,bb_baseline,csebuetnlp/banglabert,banglasarc3,banglasarc,binary,0.6772,0.6878,0.6836,0.7666,616.6
bb_baseline_banglasarc3__to__ben_sarc,bb_baseline,csebuetnlp/banglabert,banglasarc3,ben_sarc,binary,0.6621,0.6621,0.6626,0.7666,636.6
bb_fgm_e05_banglasarc3__to__banglasarc,bb_fgm_e05,csebuetnlp/banglabert,banglasarc3,banglasarc,binary,0.3921,0.4138,0.4062,0.578,1167.4
bb_fgm_e05_banglasarc3__to__ben_sarc,bb_fgm_e05,csebuetnlp/banglabert,banglasarc3,ben_sarc,binary,0.4561,0.4561,0.4567,0.578,1189.2
bb_baseline_ben_sarc__to__banglasarc,bb_baseline,csebuetnlp/banglabert,ben_sarc,banglasarc,binary,0.6664,0.6795,0.6758,0.7995,1935.7
bb_baseline_ben_sarc__to__banglasarc3,bb_baseline,csebuetnlp/banglabert,ben_sarc,banglasarc3,binary,0.6517,0.6517,0.6521,0.7995,1940.7
bb_fgm_e05_ben_sarc__to__banglasarc,bb_fgm_e05,csebuetnlp/banglabert,ben_sarc,banglasarc,binary,0.3816,0.4711,0.6172,0.3333,3687.1
bb_fgm_e05_ben_sarc__to__banglasarc3,bb_fgm_e05,csebuetnlp/banglabert,ben_sarc,banglasarc3,binary,0.3333,0.3333,0.5,0.3333,3700.9
